"Table","IndexName","Side","SourceSignature","DestSignature"
"dbo.BenOptionParticipant",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.BenPayrollMapping",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.BenPayrollMapping",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.BenPlan",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.BenPlan",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.BenPlanCarrierContact",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.BenPlanCarrierContact",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.BenPlanEmployeeBeneficiaryElectedOption",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.BenPlanEmployeeBeneficiaryElectedOption",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.BenPlanEmployeeDependentElectedOption",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.BenPlanEmployeeDependentElectedOption",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.BenPlanEmployeeDependentElectedOption",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.BenPlanEmployeeElectedOption",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.BenPlanEmployeeElectedOption",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.BenPlanEmployeeElectedOption",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.BenPlanEmployeeElectedOptionRate",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.BenPlanEmployeeElectedOptionRate",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.BenPlanEmployeeElectedOptionRate",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.BenPlanEmployeeEligibleBenPlanOption",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
