"Table","Location"
"dbo.BenEnrollmentSummary","Both"
"dbo.BenEnrollmentSummaryAudit","Both"
"dbo.BenEnrollmentSummaryCulture","Both"
"dbo.BenEnrollmentType","Both"
"dbo.BenEnrollmentTypeCulture","Both"
"dbo.BenFeatureRoleListTFS614102_TFS775188_TFS831307_Step27350","Both"
"dbo.BenFeatureRoleListTFS656603_TFS775188_TFS831307_Step27359","Both"
"dbo.BenFlexCreditPlan","Both"
"dbo.BenFlexCreditPlanAudit","Both"
"dbo.BenFlexCreditPlanCulture","Both"
"dbo.BenFlexCreditPlanProrationRule","Both"
"dbo.BenFlexCreditPlanProrationRuleAudit","Both"
"dbo.BenFlexCreditPriorityAssignment","Both"
"dbo.BenFlexCreditPriorityAssignmentAudit","Both"
"dbo.BenFlexCreditPriorityOrder","Both"
"dbo.BenFlexCreditPriorityOrderAudit","Both"
"dbo.BenFlexCreditPriorityOrderCulture","Both"
"dbo.BenFlexCreditTier","Both"
"dbo.BenFlexCreditTierAmount","Both"
"dbo.BenFlexCreditTierAmountAudit","Both"
"dbo.BenFlexCreditTierAudit","Both"
"dbo.BenFrequencyType","Both"
"dbo.BenFrequencyTypeCulture","Both"
"dbo.BenImportResult","Both"
"dbo.BenImportTaskLog","Both"
"dbo.BenLegalCarrierName","Both"
"dbo.BenNotification","Both"
"dbo.BenNotificationAudit","Both"
"dbo.BenNotificationCulture","Both"
"dbo.BenNotificationRole","Both"
"dbo.BenNotificationRoleAudit","Both"
"dbo.BenOpsHaltVERSION","Both"
"dbo.BenOpsVersion","Both"
"dbo.BenOptionParticipant","Both"
"dbo.BenOptionParticipantAudit","Both"
"dbo.BenOverview","Both"
"dbo.BenOverviewCulture","Both"
"dbo.BenOverviewTemplate","Both"
"dbo.BenOverviewTemplateCulture","Both"
"dbo.BenPayrollIntegration","Both"
"dbo.BenPayrollIntegrationAudit","Both"
"dbo.BenPayrollIntegrationException","Both"
"dbo.BenPayrollIntegrationExceptionAudit","Both"
"dbo.BenPayrollMapping","Both"
"dbo.BenPayrollMappingAudit","Both"
"dbo.BenPayrollMappingCategory","Both"
"dbo.BenPayrollMappingGroup","Both"
"dbo.BenPayrollMappingGroupAudit","Both"
"dbo.BenPayrollMappingGroupCulture","Both"
"dbo.BenPayrollMappingOptionDateOffset","Both"
"dbo.BenPayrollMappingOptionDateOffsetAudit","Both"
"dbo.BenPlan","Both"
"dbo.BenPlanAudit","Both"
"dbo.BenPlanCarrier","Both"
"dbo.BenPlanCarrier834Config","Both"
